fname,lname,uid,phone,address
Barbara,West,1,688-58-5279,Illinois
Theresa,Parker,2,866-77-8981,Texas
Ruth,Snyder,3,511-26-0735,Virginia
Ruth,Elliott,4,481-39-1416,Florida
Nancy,Alexander,5,928-56-2567,West Virginia
Marilyn,Woods,6,535-51-9898,Ohio
Annie,Fernandez,7,416-06-9337,California
Laura,Butler,8,959-21-8217,North Carolina
Irene,Harrison,9,271-30-4613,Texas
Scott,Alvarez,10,526-53-8597,California
Brian,Bryant,11,261-77-3368,Massachusetts
Lawrence,Lee,12,505-73-7705,California
Martin,Ortiz,13,299-75-4331,Arkansas
Catherine,Garza,14,769-64-1263,Florida
Douglas,Gutierrez,15,218-95-5350,Massachusetts
Louis,Lynch,16,844-16-6407,Texas
Elizabeth,Bell,17,347-46-8947,Illinois
George,Hunt,18,840-71-9332,Minnesota
Jane,Dunn,19,124-41-8883,California
Alan,Mendoza,20,875-32-6983,Illinois
Mildred,Harris,21,617-40-1960,Michigan
Justin,Dunn,22,370-25-4443,California
Martin,Kim,23,406-57-8778,Massachusetts
William,Henderson,24,545-99-1967,Massachusetts
Eugene,Chapman,25,815-19-7026,North Carolina
Douglas,Johnson,26,469-45-4922,Texas
Kathy,Coleman,27,172-71-3755,Illinois
Matthew,Daniels,28,692-20-7011,Minnesota
Brian,Kelley,29,675-47-6921,Texas
Julie,Hudson,30,181-15-0038,Illinois
Robert,Davis,31,111-65-4128,New Jersey
William,Wheeler,32,865-78-4745,Colorado
Janice,Cooper,33,477-18-0304,New York
Theresa,Dixon,34,518-57-4368,Ohio
Nancy,Mills,35,531-36-9184,Ohio
Katherine,Garrett,36,732-31-2370,California
Rachel,Chavez,37,859-70-8881,New York
Betty,Black,38,117-21-1447,Ohio
Judy,Smith,39,944-39-5400,California
Henry,Howard,40,942-11-7471,Arkansas
Juan,Fox,41,761-30-0416,Texas
Brandon,Black,42,582-24-2464,New York
Amanda,Banks,43,663-35-9670,Texas
Andrea,Green,44,314-62-8422,Illinois
Edward,Oliver,45,356-38-6836,Illinois
Edward,Spencer,46,961-56-3648,Massachusetts
Henry,Pierce,47,961-44-6999,Florida
Jason,Nichols,48,673-60-8875,New Jersey
Jonathan,Sanders,49,647-16-5911,Oklahoma
Jose,Harris,50,162-22-5303,Florida
Jason,George,51,915-29-4432,Massachusetts
Peter,Howard,52,233-12-0556,Massachusetts
Billy,King,53,728-64-3258,California
Jacqueline,Boyd,54,855-18-9186,New York
Kenneth,Fields,55,153-23-5890,California
Larry,Sanders,56,682-21-1279,Florida
Kenneth,Stanley,57,928-04-2791,New York
Charles,Medina,58,704-20-2401,California
Janice,Wallace,59,941-39-0667,Nebraska
Lawrence,Clark,60,574-52-2913,New Jersey
Denise,Foster,61,185-72-4772,Ohio
Dorothy,Fisher,62,608-66-1571,Illinois
Brenda,Evans,63,749-34-3464,Texas
Arthur,Pierce,64,634-75-1976,Michigan
Kelly,Campbell,65,724-22-3163,Pennsylvania
Jack,Gomez,66,804-06-8879,Florida
Matthew,Mccoy,67,723-69-6244,Oklahoma
Michael,Henderson,68,882-31-7782,California
Elizabeth,Richards,69,182-33-6331,Michigan
Patricia,Morales,70,852-71-1340,Texas
Jerry,Crawford,71,331-66-6597,Texas
